Invoice,InvoiceDate,StockCode,Quantity,Price,TotalPrice,Customer ID
536393,2010-12-01 10:37:00,22180,8,9.95,79.6,13747
536559,2010-12-01 14:54:00,84884A,10,3.95,39.5,17873
536559,2010-12-01 14:54:00,51014C,24,0.85,20.4,17873
536559,2010-12-01 14:54:00,51014L,12,0.85,10.2,17873
536559,2010-12-01 14:54:00,51014A,12,0.85,10.2,17873
536559,2010-12-01 14:54:00,22366,10,6.75,67.5,17873
536559,2010-12-01 14:54:00,22876,1,1.95,1.95,17873
536559,2010-12-01 14:54:00,22953,36,1.25,45.0,17873
536623,2010-12-02 10:39:00,21355,24,1.25,30.0,15601
536623,2010-12-02 10:39:00,21756,6,5.95,35.7,15601
536623,2010-12-02 10:39:00,21518,12,0.42,5.04,15601
536623,2010-12-02 10:39:00,21520,12,0.42,5.04,15601
536623,2010-12-02 10:39:00,21506,12,0.42,5.04,15601
536623,2010-12-02 10:39:00,22023,12,0.42,5.04,15601
536623,2010-12-02 10:39:00,21519,12,0.42,5.04,15601
536623,2010-12-02 10:39:00,22037,12,0.42,5.04,15601
536623,2010-12-02 10:39:00,22029,12,0.42,5.04,15601
536623,2010-12-02 10:39:00,22030,12,0.42,5.04,15601
536623,2010-12-02 10:39:00,22027,12,0.42,5.04,15601
536623,2010-12-02 10:39:00,22983,24,0.42,10.08,15601
536623,2010-12-02 10:39:00,22718,24,0.42,10.08,15601
536623,2010-12-02 10:39:00,22717,12,0.42,5.04,15601
536623,2010-12-02 10:39:00,22712,24,0.42,10.08,15601
536623,2010-12-02 10:39:00,22028,12,0.42,5.04,15601
536623,2010-12-02 10:39:00,22815,24,0.42,10.08,15601
536623,2010-12-02 10:39:00,72818,24,0.85,20.4,15601
536623,2010-12-02 10:39:00,22697,12,2.95,35.4,15601
536623,2010-12-02 10:39:00,21670,12,1.25,15.0,15601
536623,2010-12-02 10:39:00,21669,12,1.25,15.0,15601
536623,2010-12-02 10:39:00,21671,12,1.25,15.0,15601
536623,2010-12-02 10:39:00,21673,12,1.25,15.0,15601
536623,2010-12-02 10:39:00,21672,12,1.25,15.0,15601
536623,2010-12-02 10:39:00,22771,12,1.25,15.0,15601
536623,2010-12-02 10:39:00,22775,12,1.25,15.0,15601
536623,2010-12-02 10:39:00,22772,12,1.25,15.0,15601
536623,2010-12-02 10:39:00,22774,12,1.25,15.0,15601
536623,2010-12-02 10:39:00,48185,4,7.95,31.8,15601
536623,2010-12-02 10:39:00,48187,4,7.95,31.8,15601
536623,2010-12-02 10:39:00,82494L,12,2.95,35.4,15601
